event_name,event_id,fight_id,r_name,r_id,b_name,b_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee
UFC 316: Dvalishvili vs. O'Malley 2,18c49685296c60e6,9f4a0de31375ba04,Jeka Saragih,57186c150c645200,JooSang Yoo,a44020ea2e8cd026,Featherweight,0,KO/TKO,1,28,3,Keith Peterson
UFC 316: Dvalishvili vs. O'Malley 2,18c49685296c60e6,2e4064e0e6d4d92e,Quillan Salkilld,17734443a833cdf7,Yanal Ashmouz,c739c2995a275314,Lightweight,0,Decision - Unanimous,3,300,3,Gasper Oliver
UFC Fight Night: Sandhagen vs. Font,6f81b6de2557739a,ec2358459ffbe7de,Jessica Andrade,6a1901c62ab3870f,Tatiana Suarez,b08012bbe542592a,Flyweight,0,Submission,2,91,3,Kevin MacDonald
UFC Fight Night: Sandhagen vs. Font,6f81b6de2557739a,2c54be25b09fce50,Dustin Jacoby,e4277e87a789d687,Kennedy Nzechukwu,8667caa0451d245b,Light Heavyweight,0,KO/TKO,1,82,3,Gary Copeland
UFC 316: Dvalishvili vs. O'Malley 2,18c49685296c60e6,0e8599eca8ccfa32,MarQuel Mederos,e2be0c1a9b886d92,Mark Choinski,001eb2ab0f30e7ea,Lightweight,0,Decision - Unanimous,3,300,3,Jason Herzog
UFC Fight Night: Sandhagen vs. Font,6f81b6de2557739a,79bfba62da6242a6,Diego Lopes,f166e93d04a8c274,Gavin Tucker,da816417a579a0bd,Featherweight,0,Submission,1,98,3,Jimmy Neely
UFC Fight Night: Sandhagen vs. Font,6f81b6de2557739a,554163b1c8c05522,Cory Sandhagen,65f09bacd3957381,Rob Font,05339613bf8e9808,Catch Weight,0,Decision - Unanimous,5,300,5,Jason Herzog
UFC Fight Night: Sandhagen vs. Font,6f81b6de2557739a,bda7992779a005fa,Jeremiah Wells,d66a46de8d705353,Carlston Harris,a53d30163304aa6e,Welterweight,0,Submission,3,110,3,Jason Herzog
UFC Fight Night: Sandhagen vs. Font,6f81b6de2557739a,2c0496a5f39ab8a4,Tanner Boser,04c8b08b16a5b99e,Aleksa Camur,c2a670b22d2e196f,Light Heavyweight,0,Decision - Unanimous,3,300,3,Justin Brown
UFC Fight Night: Sandhagen vs. Font,6f81b6de2557739a,1b0d5e65fdfc62cf,Billy Quarantillo,aa171d55d4b5208f,Damon Jackson,29af297d9f1de0f8,Featherweight,0,Decision - Unanimous,3,300,3,Kevin MacDonald
